Time,LAFmx,LAFmn,LAeq,LCpk
13:45:14,103.5,64.8,85.7,125.8 
13:45:24,84.1,64.4,74.9,111.6 
13:45:34,71.5,61.5,65.4,97.3 
13:45:44,74.2,60.2,66.1,103.3 
13:45:54,71.4,59.8,63.2,101.8 
13:46:04,72.2,61.5,66.3,99.7 
13:46:14,73.9,63.7,69.8,93.0 
13:46:24,76.4,61.2,67.6,96.1 
13:46:34,79.2,60.3,66.7,93.0 
13:46:44,71.6,59.7,64.8,92.6 
13:46:54,81.0,60.3,71.9,112.4 
13:47:04,82.1,64.2,75.5,110.0 
13:47:14,70.4,58.1,63.6,100.5 
13:47:24,76.8,55.2,67.2,105.4 
13:47:34,75.9,56.1,65.7,107.9 
13:47:44,74.6,57.0,61.9,101.0 
13:47:54,69.6,57.1,61.6,98.1 
13:48:04,73.8,58.0,64.4,99.6 
13:48:14,76.0,57.0,68.2,103.9 
13:48:24,82.3,63.8,74.9,109.1 
13:48:34,81.1,62.8,71.1,108.7 
13:48:44,87.3,64.7,79.5,115.7 
13:48:54,86.0,60.5,75.5,111.3 
13:49:04,77.6,62.6,69.8,107.4 
13:49:14,87.8,68.3,80.2,115.1 
13:49:24,87.8,66.1,78.5,113.7 
13:49:34,82.7,68.1,71.9,107.6 
13:49:44,80.8,68.7,73.5,107.1 
13:49:54,74.4,66.5,69.2,102.8 
13:50:04,76.2,66.2,70.0,100.8 
13:50:14,83.2,63.1,73.5,114.5 
13:50:24,86.4,66.1,75.2,113.6 
13:50:34,75.5,65.1,69.1,106.2 
13:50:44,74.4,69.2,70.7,98.5 
13:50:54,78.6,68.8,71.5,95.5 
13:51:04,74.6,70.2,71.6,96.9 
13:51:14,76.4,70.7,72.2,96.1 
13:51:24,82.1,71.9,76.7,111.7 
13:51:34,87.5,69.7,80.9,116.0 
13:51:44,89.8,73.6,83.8,117.7 
13:51:54,89.4,72.3,81.3,115.0 
13:52:04,85.1,70.1,77.4,110.6 
13:52:14,86.1,67.1,77.5,103.5 
13:52:24,82.5,68.9,77.6,110.9 
13:52:34,75.9,66.6,71.4,106.3 
13:52:44,91.6,69.5,83.4,117.0 
13:52:54,88.4,70.6,80.6,113.2 
13:53:04,90.5,77.7,85.7,118.7 
13:53:14,93.0,71.6,86.0,116.7 
13:53:24,84.5,64.9,75.5,112.2 
13:53:34,88.9,70.4,82.1,116.1 
13:53:44,88.8,61.0,79.0,116.8 
13:53:54,82.5,63.7,74.0,109.6 
13:54:04,78.8,70.1,73.8,105.2 
13:54:14,78.1,64.8,72.0,107.9 
13:54:24,84.1,63.4,74.0,112.8 
13:54:34,86.8,68.0,78.4,117.2 
13:54:44,81.0,70.8,75.9,110.1 
13:54:54,87.0,74.7,80.9,112.1 
13:55:04,90.7,73.2,83.5,117.3 
13:55:14,93.8,74.1,87.2,122.4 
13:55:24,92.0,72.4,86.0,120.3 
13:55:34,90.1,70.4,81.5,118.6 
13:55:44,92.8,70.7,84.8,124.3 
13:55:54,92.3,69.5,85.5,120.1 
13:56:04,91.3,67.1,83.8,116.7 
13:56:14,91.1,70.6,80.8,118.0 
13:56:24,77.1,70.0,72.5,102.8 
13:56:34,85.2,69.1,77.7,103.0 
13:56:44,77.4,68.0,71.0,101.3 
13:56:54,77.2,67.7,70.6,100.8 
13:57:04,78.3,71.0,74.5,99.3 
13:57:14,83.1,72.6,77.0,111.3 
13:57:24,89.8,72.0,82.5,118.4 
13:57:34,102.5,80.1,92.7,123.9 
13:57:44,95.7,78.9,86.5,122.6 
13:57:54,93.9,70.3,87.5,121.8 
13:58:04,88.3,70.4,81.6,113.0 
13:58:14,89.5,74.2,82.5,112.9 
13:58:24,86.4,74.3,81.3,112.5 
13:58:34,82.4,71.7,77.6,107.7 
13:58:44,78.5,66.1,74.5,108.5 
13:58:54,84.7,67.7,78.7,113.0 
13:59:04,85.5,74.3,80.2,113.2 
13:59:14,84.2,73.9,79.4,111.9 
13:59:24,87.6,74.1,82.6,114.5 
13:59:34,89.3,74.9,83.4,119.4 
13:59:44,88.6,72.5,82.0,115.4 
13:59:54,88.5,74.3,82.0,117.6 
14:00:04,92.8,76.4,84.6,119.9 
14:00:14,96.8,64.4,85.8,122.2 
14:00:24,80.5,60.9,69.3,105.8 
14:00:34,83.6,61.9,75.4,112.4 
14:00:44,86.2,68.8,79.0,112.1 
14:00:54,85.3,70.6,78.7,110.8 
14:01:04,82.8,66.6,75.7,109.8 
14:01:14,72.2,67.0,69.0,90.3 
14:01:24,68.7,66.9,67.7,89.2 
14:01:34,80.1,64.7,70.0,106.9 
14:01:44,90.4,76.2,85.2,117.3 
14:01:54,82.9,71.0,77.9,111.6 
14:02:04,77.6,60.8,68.2,103.6 
14:02:14,80.0,63.7,74.1,108.8 
14:02:24,86.3,70.9,81.3,114.2 
14:02:34,86.4,73.1,80.2,115.4 
14:02:44,84.8,67.7,75.1,112.9 
14:02:54,84.4,73.0,77.7,112.0 
14:03:04,84.2,72.1,77.8,112.3 
14:03:14,87.8,67.6,76.8,115.0 
14:03:24,73.9,67.8,70.6,102.2 
14:03:34,88.6,69.5,80.3,113.4 
14:03:44,90.3,76.2,83.8,121.5 
14:03:54,89.3,75.4,84.1,117.3 
14:04:04,86.9,67.1,80.3,113.9 
14:04:14,72.9,65.6,70.0,98.4 
14:04:24,73.9,66.7,69.6,99.3 
14:04:34,87.8,66.6,80.8,114.5 
14:04:44,92.5,77.7,86.4,117.9 
14:04:54,87.5,65.6,74.8,110.4 
14:05:04,85.0,67.5,73.0,114.4 
14:05:14,76.6,66.4,71.9,104.4 
14:05:24,91.2,72.1,85.6,120.0 
14:05:34,89.3,73.6,83.5,117.6 
14:05:44,81.2,68.6,74.1,109.1 
14:05:54,76.5,69.8,72.5,102.4 
14:06:04,94.4,70.7,86.6,119.8 
14:06:14,92.1,71.9,85.8,120.1 
14:06:24,96.4,83.2,90.2,120.7 
14:06:34,93.5,77.3,86.7,120.2 
14:06:44,94.2,79.9,89.2,121.9 
14:06:54,94.9,82.3,89.2,122.2 
14:07:04,90.8,74.9,85.2,117.9 
14:07:14,93.6,81.5,87.9,122.0 
14:07:24,92.8,79.4,87.6,120.1 
14:07:34,90.1,78.9,86.3,118.9 
14:07:44,94.5,80.5,87.3,121.7 
14:07:54,97.2,83.6,90.5,122.4 
14:08:04,91.9,68.2,84.0,120.0 
14:08:14,83.5,66.5,76.7,111.5 
14:08:24,90.2,78.8,85.2,117.4 
14:08:34,92.1,77.6,87.0,118.7 
14:08:44,89.8,74.1,83.4,116.9 
14:08:54,93.9,76.3,85.0,120.9 
