Longitude, Latitude, CO2
-80.000898999947,40.444498000016,132
-80.000316,40.444682,128
-79.999787999999,40.444856,122
-79.999369999999,40.444978,124
-79.999204999999,40.445102,132
-79.999127,40.445468,132
-79.999312000001,40.445864000003,136
-80.000248000006,40.447755000013,136
-80.000248000014,40.447755000029,124
-80.000248000022,40.447755000045,128
-80.00024800003,40.447755000061,128
-80.000426000001,40.448216000002,124
-80.000533,40.448487000001,130
-80.000676,40.448896000001,170
-80.000676000001,40.448896000004,210
-80.000676000003,40.448896000008,206
-80.000676000004,40.448896000011,200
-80.000676000005,40.448896000015,196
-80.000676000006,40.448896000018,190
-80.001172000001,40.450507000004,184
-80.001172000005,40.450507000016,180
-80.001172000009,40.450507000029,182
-80.000911,40.45103,192
-80.001071000001,40.451490000003,188
-80.001256000001,40.452164000005,186
-80.001460000001,40.452721000002,186
-80.001519,40.452921,180
-80.0017,40.453534000002,178
-80.001700000002,40.453534000007,178
-80.001903000002,40.454189000006,178
-80.002202000002,40.455063000004,178
-80.002202000004,40.455063000012,174
-80.002448000002,40.455692000004,166
-80.002476,40.455771,160
-80.002476,40.455771000001,152
-80.002499,40.455880000001,142
-80.003657000006,40.456032000001,152
-80.003657000016,40.456032000002,158
-80.004418000001,40.455929,160
-80.004954,40.455796,160
-80.005675000004,40.455654999999,152
-80.007443000004,40.455354999999,144
-80.007443000019,40.455354999997,140
-80.007443000034,40.455354999994,142
-80.008741000007,40.455115999999,144
-80.008741000018,40.455115999997,142
-80.009671000006,40.454939999999,140
-80.010832000005,40.454699999999,138
-80.010832000015,40.454699999997,136
-80.011806000007,40.454556999999,132
-80.012417000003,40.454439,138
-80.013211000003,40.454267999999,134
-80.013933000001,40.454139,136
-80.014117,40.454113,140
-80.014390000002,40.454091,132
-80.014390000004,40.454091,130
-80.014475,40.454066,124
-80.014886,40.454016,126
-80.014953,40.453996,134
-80.014953000001,40.453996,136
-80.014953000001,40.453996,134
-80.014953000002,40.453995999999,128
-80.015168000001,40.453948,128
-80.015683000004,40.453789999999,126
-80.016364000004,40.453661999999,120
-80.016976000003,40.453551999999,116
-80.01706,40.453287,112
-80.016785999998,40.452622999995,110
-80.016558999999,40.451945999997,106
-80.016558999997,40.451945999991,104
-80.016233,40.450958999999,114
-80.016232999997,40.450958999992,134
-80.016118999999,40.450625999998,134
-80.015985999999,40.450164999997,132
-80.016769000001,40.449988,128
-80.016769000008,40.449987999998,128
-80.018046,40.449725,126
-80.018046000001,40.449725,126
-80.018046000001,40.449725,124
-80.018257,40.449618,124
-80.018251,40.449299,128
-80.018024999999,40.448576999996,134
-80.018024999997,40.44857699999,148
-80.018024999995,40.448576999984,170
-80.017956,40.448325,368
-80.017923,40.448150999999,344
-80.017899,40.448018,356
-80.017899,40.448017999999,352
-80.017899,40.448017999998,346
-80.017898999999,40.448017999997,332
-80.017874,40.447821999999,328
-80.017785999999,40.447500999998,308
-80.017636999999,40.446991999998,264
-80.017621,40.446872,252
-80.017621,40.446871999999,256
-80.017621,40.446871999999,246
-80.017621,40.446871999998,238
-80.017472999999,40.446355999996,230
-80.017472999998,40.446355999992,230
-80.017472999996,40.446355999987,220
-80.017472999995,40.446355999983,210
-80.017472999994,40.446355999979,204
-80.017374999999,40.446084999998,198
-80.01729,40.445906999999,202
-80.016884,40.445231,190
-80.016682,40.445063,184
-80.01558,40.444831,174
-80.015126999998,40.44476,164
-80.014676999997,40.44479,150
-80.014452,40.444793,132
-80.013672999999,40.444759,128
-80.013672999993,40.444759,130
-80.013078999998,40.44485,134
-80.012882999999,40.444841,134
-80.012625,40.444866,134
-80.011931999999,40.444951,126
-80.011384999995,40.444982,122
-80.011059999999,40.445027,116
-80.010811999999,40.44508,118
-80.010535,40.445152,118
-80.010431,40.445177,120
-80.010392,40.445182,116
-80.009710999997,40.445231,116
-80.009710999992,40.445231,122
-80.009441,40.445276,124
-80.009143999999,40.445329,120
